datetime,open,high,low,close,volume
2026-05-18 09:30:00,21450.25,21455.00,21448.75,21453.50,110
2026-05-18 09:31:00,21453.50,21460.25,21452.25,21458.75,126
2026-05-18 09:32:00,21458.75,21459.50,21454.25,21455.00,98
2026-05-18 09:33:00,21455.00,21457.75,21451.50,21452.25,143
2026-05-18 09:34:00,21452.25,21456.00,21450.75,21455.75,101
2026-05-18 09:35:00,21455.75,21463.25,21455.00,21461.50,167
2026-05-18 09:36:00,21461.50,21465.00,21458.50,21464.25,155
2026-05-18 09:37:00,21464.25,21466.75,21460.25,21462.00,132
2026-05-18 09:38:00,21462.00,21469.50,21461.75,21468.25,149
2026-05-18 09:39:00,21468.25,21472.00,21467.00,21470.50,173
2026-05-18 09:40:00,21470.50,21473.25,21465.75,21466.25,121
2026-05-18 09:41:00,21466.25,21468.00,21462.50,21463.75,118
2026-05-18 09:42:00,21463.75,21467.25,21460.00,21465.50,109
2026-05-18 09:43:00,21465.50,21471.75,21464.25,21470.25,136
2026-05-18 09:44:00,21470.25,21474.00,21468.50,21472.75,164
2026-05-18 09:45:00,21472.75,21476.50,21470.25,21475.00,172
